Score,Group
5.33,Vegetarian
5.17,Vegetarian
6.42,Vegetarian
6.64,Vegetarian
4.7,Vegetarian
4.64,Vegetarian
5.09,Vegetarian
2.05,Vegetarian
3.23,Vegetarian
7.55,Vegetarian
7.97,Vegetarian
5.13,Vegetarian
6.36,Vegetarian
5.97,Vegetarian
10.0,Vegetarian
7.18,Vegetarian
5.31,Vegetarian
4.07,Vegetarian
3.09,Vegetarian
5.81,Vegetarian
4.37,Vegetarian
3.37,Vegetarian
4.53,Vegetarian
3.88,Vegetarian
8.03,Vegetarian
6.82,Vegetarian
5.49,Vegetarian
7.72,Vegetarian
5.62,Vegetarian
4.21,Vegetarian
7.78,Vegetarian
6.31,Vegetarian
3.94,Vegetarian
5.21,Vegetarian
4.19,Vegetarian
3.43,Vegetarian
